"Designator","Description","LibReference","Footprint","FootprintDescription","Sheet","SourceUniqueId","ItemGUID","ItemRevisionGUID","Layer"
"C29","CAP, CERM, 22 uF, 10 V, +/- 20%, X5R, 0603","CMP-0007324-5","0603","","3.ADC","CBKKHTMI","","","BOTTOM"
"C30","CAP, CERM, 0.1 uF, 10 V, +/- 10%, X7R, 0603","CMP-0006862-5","0603","","3.ADC","ZGAIODEH","","","BOTTOM"
"C31","CAP, CERM, 2.2 uF, 6.3 V, +/- 10%, X5R, 0603","CMP-0006907-5","0603","","3.ADC","LDVVIFOE","","","BOTTOM"
"C32","CAP, CERM, 1 uF, 6.3 V, +80/-20%, Y5V, 0603","CMP-0006871-4","0603","","3.ADC","WFJMVTJQ","","","TOP"
"C33","CAP, CERM, 1 uF, 6.3 V, +80/-20%, Y5V, 0603","CMP-0006871-4","0603","","3.ADC","TOIYFFEB","","","TOP"
"C34","CAP, CERM, 1 uF, 6.3 V, +80/-20%, Y5V, 0603","CMP-0006871-4","0603","","3.ADC","RBKWGFFZ","","","TOP"
"C35","CAP, CERM, 22 uF, 10 V, +/- 20%, X5R, 0603","CMP-0007324-5","0603","","4.Power","VZGJROJK","","","TOP"
"C36","CAP, CERM, 33 pF, 25 V, +/- 5%, C0G/NP0, 0402","CMP-0006213-2","0402","","4.Power","VABSPAMN","","","TOP"
"C37","CAP, CERM, 22 uF, 10 V, +/- 20%, X5R, 0603","CMP-0007324-5","0603","","4.Power","CKAFREJQ","","","TOP"
"C38","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","TQSLVFDQ","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","TOP"
"C39","Chip Capacitor, 22??F +/-40%, 16V, 0805, Thickness 1.45 mm","CMP-001-00081-4","CAPC0805(2012)145_L","Chip Capacitor, Body 2.0x1.2mm, Height 1.45mm, IPC High Density","4.Power","HSUWZRKC","9C1E7CA9-BBF6-4874-89A4-825447AD49CC","1B732AC5-BE16-4EF9-ACAE-BD6F38A05304","TOP"
"C40","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","OSBLLLNH","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","TOP"
"C41","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","NELMJYXV","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","TOP"
"C42","CAP, CERM, 2.2 uF, 10 V, +/- 10%, X5R, 0603","CMP-0006906-5","0603","","4.Power","EMEBCXUW","","","TOP"
"C43","CAP, CERM, 2.2 uF, 10 V, +/- 10%, X5R, 0603","CMP-0006906-5","0603","","4.Power","FQHRVLRH","","","TOP"
"C44","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","VGCBHBHW","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","BOTTOM"
"C45","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","SPWAJTVU","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","BOTTOM"
"C46","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","CWDCDUAE","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","BOTTOM"
"C47","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","NARIOUNQ","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","BOTTOM"
"C48","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","RBUCKDUS","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","BOTTOM"
